K-CORES (!= 0).....
Node 308 => k-core: 1; degree: 1
Node 3927 => k-core: 1; degree: 1
Node 4026 => k-core: 1; degree: 1
Node 4129 => k-core: 1; degree: 1
Node 4261 => k-core: 1; degree: 1
Node 4384 => k-core: 1; degree: 1
Node 4408 => k-core: 1; degree: 1
Node 4428 => k-core: 1; degree: 1
Node 4505 => k-core: 1; degree: 1
Node 4549 => k-core: 1; degree: 1
Node 4700 => k-core: 1; degree: 1
Node 4771 => k-core: 1; degree: 1
Node 4857 => k-core: 1; degree: 1
Node 4981 => k-core: 1; degree: 1
Node 5002 => k-core: 1; degree: 1
Node 5049 => k-core: 1; degree: 1
Node 5089 => k-core: 1; degree: 1
Node 5208 => k-core: 1; degree: 1
Node 5218 => k-core: 1; degree: 1
Node 5222 => k-core: 1; degree: 1
Node 5238 => k-core: 1; degree: 1
Node 5645 => k-core: 1; degree: 1
Node 5747 => k-core: 1; degree: 1
Node 5808 => k-core: 1; degree: 1
Node 5863 => k-core: 1; degree: 1
Node 5991 => k-core: 1; degree: 1
Node 5992 => k-core: 1; degree: 1
Node 6286 => k-core: 1; degree: 1
Node 6361 => k-core: 1; degree: 1
Node 6388 => k-core: 1; degree: 1
Node 6566 => k-core: 1; degree: 1
Node 6578 => k-core: 1; degree: 1
Node 6581 => k-core: 1; degree: 1
Node 6614 => k-core: 1; degree: 1
Node 6661 => k-core: 1; degree: 1
Node 6803 => k-core: 1; degree: 1
Node 6978 => k-core: 1; degree: 1
Node 7073 => k-core: 1; degree: 1
Node 7075 => k-core: 1; degree: 1
Node 7130 => k-core: 1; degree: 1
Node 7135 => k-core: 1; degree: 1
Node 7140 => k-core: 1; degree: 1
Node 7144 => k-core: 1; degree: 1
Node 7179 => k-core: 1; degree: 1
Node 7336 => k-core: 1; degree: 1
Node 7353 => k-core: 1; degree: 1
Node 7363 => k-core: 1; degree: 1
Node 7367 => k-core: 1; degree: 1
Node 7373 => k-core: 1; degree: 1
Node 7446 => k-core: 1; degree: 1
Node 7671 => k-core: 1; degree: 1
Node 7811 => k-core: 1; degree: 1
Node 7850 => k-core: 1; degree: 1
Node 7877 => k-core: 1; degree: 1
Node 7878 => k-core: 1; degree: 1
Node 7913 => k-core: 1; degree: 1
Node 7941 => k-core: 1; degree: 1
Node 7952 => k-core: 1; degree: 1
Node 7968 => k-core: 1; degree: 1
Node 7978 => k-core: 1; degree: 1
Node 7984 => k-core: 1; degree: 1
Node 7994 => k-core: 1; degree: 1
Node 7999 => k-core: 1; degree: 1
Node 8000 => k-core: 1; degree: 1
Node 8008 => k-core: 1; degree: 1
Node 8015 => k-core: 1; degree: 1
Node 8019 => k-core: 1; degree: 1
Node 8020 => k-core: 1; degree: 1
Node 8021 => k-core: 2; degree: 70
Node 8022 => k-core: 1; degree: 1
Node 8024 => k-core: 1; degree: 1
Node 8083 => k-core: 2; degree: 2
Node 8088 => k-core: 1; degree: 1
Node 8102 => k-core: 1; degree: 1
Node 8111 => k-core: 1; degree: 1
Node 8321 => k-core: 1; degree: 1
Node 8456 => k-core: 1; degree: 1
Node 8514 => k-core: 1; degree: 1
Node 8661 => k-core: 1; degree: 1
Node 8686 => k-core: 1; degree: 1
Node 8696 => k-core: 1; degree: 1
Node 8777 => k-core: 1; degree: 1
Node 8794 => k-core: 1; degree: 1
Node 8888 => k-core: 1; degree: 1
Node 9015 => k-core: 1; degree: 1
Node 9075 => k-core: 1; degree: 1
Node 9131 => k-core: 1; degree: 1
Node 9183 => k-core: 1; degree: 1
Node 9261 => k-core: 1; degree: 1
Node 9266 => k-core: 1; degree: 1
Node 9359 => k-core: 1; degree: 1
Node 9366 => k-core: 1; degree: 1
Node 9411 => k-core: 1; degree: 1
Node 9522 => k-core: 1; degree: 1
Node 9559 => k-core: 1; degree: 1
Node 9632 => k-core: 1; degree: 1
Node 9962 => k-core: 1; degree: 1
Node 9977 => k-core: 1; degree: 1
Node 9978 => k-core: 1; degree: 1
Node 10536 => k-core: 1; degree: 1
Node 10684 => k-core: 2; degree: 2
Node 10712 => k-core: 1; degree: 1
Node 10738 => k-core: 1; degree: 1
Node 10975 => k-core: 1; degree: 1
Node 11099 => k-core: 1; degree: 1
Node 11109 => k-core: 1; degree: 1
Node 11227 => k-core: 1; degree: 1
Node 11234 => k-core: 1; degree: 1
Node 11249 => k-core: 1; degree: 1
Node 11270 => k-core: 1; degree: 1
Node 11298 => k-core: 1; degree: 1
Node 11400 => k-core: 1; degree: 1
Node 11447 => k-core: 1; degree: 1
Node 11568 => k-core: 1; degree: 1
Node 11708 => k-core: 1; degree: 1
Node 11743 => k-core: 1; degree: 1
Node 11779 => k-core: 1; degree: 1
Node 11909 => k-core: 1; degree: 1
Node 11917 => k-core: 1; degree: 1
Node 11923 => k-core: 1; degree: 1
Node 11941 => k-core: 1; degree: 1
Node 11951 => k-core: 1; degree: 1
Node 12181 => k-core: 1; degree: 1
Node 12430 => k-core: 1; degree: 1
Node 12445 => k-core: 1; degree: 1
Node 12446 => k-core: 1; degree: 1
Node 12514 => k-core: 1; degree: 1
Node 12533 => k-core: 1; degree: 1
Node 12587 => k-core: 1; degree: 1
Node 12618 => k-core: 1; degree: 1
Node 12691 => k-core: 1; degree: 1
Node 12896 => k-core: 1; degree: 1
Node 13075 => k-core: 1; degree: 1
Node 13077 => k-core: 1; degree: 1
Node 13117 => k-core: 1; degree: 1
Node 13200 => k-core: 1; degree: 1
Node 13206 => k-core: 1; degree: 1
Node 13218 => k-core: 1; degree: 1
Node 13277 => k-core: 1; degree: 1
Node 13614 => k-core: 1; degree: 1
Node 13664 => k-core: 1; degree: 1
Node 13675 => k-core: 1; degree: 1
Node 13731 => k-core: 1; degree: 1
Node 14047 => k-core: 1; degree: 1
Node 14068 => k-core: 1; degree: 1
Node 14190 => k-core: 1; degree: 1
Node 14543 => k-core: 1; degree: 1
Node 15064 => k-core: 1; degree: 1
Node 15073 => k-core: 1; degree: 1
Node 15110 => k-core: 1; degree: 1
Node 15353 => k-core: 1; degree: 1
Node 15359 => k-core: 1; degree: 1
Node 15452 => k-core: 1; degree: 1
Node 15500 => k-core: 1; degree: 1
Node 15502 => k-core: 1; degree: 1
Node 15517 => k-core: 1; degree: 1
Node 15940 => k-core: 1; degree: 1
Node 16113 => k-core: 1; degree: 1
Node 16208 => k-core: 1; degree: 1
Node 16282 => k-core: 1; degree: 1
Node 16286 => k-core: 1; degree: 1
Node 16372 => k-core: 1; degree: 1
Node 16373 => k-core: 1; degree: 1
Node 17054 => k-core: 1; degree: 1
Node 17057 => k-core: 1; degree: 1
Node 17059 => k-core: 1; degree: 1
Node 17097 => k-core: 1; degree: 1
Node 17247 => k-core: 1; degree: 1
Node 17320 => k-core: 1; degree: 1
Node 17331 => k-core: 1; degree: 1
Node 17471 => k-core: 1; degree: 1
Node 17486 => k-core: 1; degree: 1
Node 17502 => k-core: 1; degree: 1
Node 17542 => k-core: 1; degree: 1
Node 17546 => k-core: 1; degree: 1
Node 17551 => k-core: 1; degree: 1
Node 17555 => k-core: 1; degree: 1
Node 17561 => k-core: 1; degree: 1
Node 17563 => k-core: 1; degree: 1
Node 17566 => k-core: 1; degree: 1
Node 17569 => k-core: 1; degree: 1
Node 17570 => k-core: 2; degree: 189
Node 17571 => k-core: 1; degree: 1
Node 17574 => k-core: 1; degree: 1
Node 17575 => k-core: 1; degree: 1
Node 17578 => k-core: 1; degree: 1
Node 17579 => k-core: 1; degree: 1
Node 17583 => k-core: 1; degree: 1
Node 17585 => k-core: 1; degree: 1
Node 17588 => k-core: 1; degree: 1
Node 17600 => k-core: 1; degree: 1
Node 17611 => k-core: 1; degree: 1
Node 17616 => k-core: 1; degree: 1
Node 17627 => k-core: 1; degree: 1
Node 17637 => k-core: 1; degree: 1
Node 17662 => k-core: 1; degree: 1
Node 17671 => k-core: 1; degree: 1
Node 17702 => k-core: 1; degree: 1
Node 17737 => k-core: 1; degree: 1
Node 17814 => k-core: 1; degree: 1
Node 18004 => k-core: 1; degree: 1
Node 18187 => k-core: 1; degree: 1
Node 18281 => k-core: 1; degree: 1
Node 18374 => k-core: 1; degree: 1
Node 18570 => k-core: 1; degree: 1
Node 18572 => k-core: 1; degree: 1


NODES IN K-CORES.....
[k-core 1]:= 308; 312; 573; 707; 713; 732; 814; 837; 866; 947; 965; 981; 997; 999; 1016; 1457; 1489; 1525; 1526; 1676; 1753; 1768; 1780; 1828; 1844; 1866; 1910; 2000; 2128; 2221; 2225; 2298; 2495; 2512; 2576; 2656; 2706; 2712; 2765; 2773; 3171; 3294; 3298; 3379; 3484; 3609; 3612; 3639; 3649; 3916; 3927; 4026; 4129; 4261; 4384; 4408; 4428; 4505; 4549; 4700; 4771; 4857; 4981; 5002; 5049; 5089; 5208; 5218; 5222; 5238; 5645; 5747; 5808; 5863; 5991; 5992; 6286; 6361; 6388; 6566; 6578; 6581; 6614; 6661; 6803; 6978; 7073; 7075; 7130; 7135; 7140; 7144; 7179; 7336; 7353; 7363; 7367; 7373; 7446; 7671; 7811; 7850; 7877; 7878; 7913; 7941; 7952; 7968; 7978; 7984; 7994; 7999; 8000; 8008; 8015; 8019; 8020; 8022; 8024; 8088; 8102; 8111; 8321; 8456; 8514; 8661; 8686; 8696; 8777; 8794; 8888; 9015; 9075; 9131; 9183; 9261; 9266; 9359; 9366; 9411; 9522; 9559; 9632; 9962; 9977; 9978; 10536; 10712; 10738; 10975; 11099; 11109; 11227; 11234; 11249; 11270; 11298; 11400; 11447; 11568; 11708; 11743; 11779; 11909; 11917; 11923; 11941; 11951; 12181; 12430; 12445; 12446; 12514; 12533; 12587; 12618; 12691; 12896; 13075; 13077; 13117; 13200; 13206; 13218; 13277; 13614; 13664; 13675; 13731; 14047; 14068; 14190; 14543; 15064; 15073; 15110; 15353; 15359; 15452; 15500; 15502; 15517; 15940; 16113; 16208; 16282; 16286; 16372; 16373; 17054; 17057; 17059; 17097; 17247; 17320; 17331; 17471; 17486; 17502; 17542; 17546; 17551; 17555; 17561; 17563; 17566; 17569; 17571; 17574; 17575; 17578; 17579; 17583; 17585; 17588; 17600; 17611; 17616; 17627; 17637; 17662; 17671; 17702; 17737; 17814; 18004; 18187; 18281; 18374; 18570; 18572; 
[k-core 2]:= 8021; 8083; 10684; 17570; 
[k-core 3]:= 
[k-core 4]:= 
[k-core 5]:= 
[k-core 6]:= 
[k-core 7]:= 
[k-core 8]:= 
[k-core 9]:= 
[k-core 10]:= 
[k-core 11]:= 
[k-core 12]:= 
[k-core 13]:= 
[k-core 14]:= 
[k-core 15]:= 
[k-core 16]:= 
[k-core 17]:= 
[k-core 18]:= 
[k-core 19]:= 
[k-core 20]:= 
[k-core 21]:= 
[k-core 22]:= 
[k-core 23]:= 
[k-core 24]:= 
[k-core 25]:= 
[k-core 26]:= 
[k-core 27]:= 
[k-core 28]:= 
[k-core 29]:= 
[k-core 30]:= 
[k-core 31]:= 
[k-core 32]:= 
[k-core 33]:= 
[k-core 34]:= 
[k-core 35]:= 
[k-core 36]:= 
[k-core 37]:= 
[k-core 38]:= 
[k-core 39]:= 
[k-core 40]:= 
[k-core 41]:= 
[k-core 42]:= 
[k-core 43]:= 
[k-core 44]:= 
[k-core 45]:= 
[k-core 46]:= 
[k-core 47]:= 
[k-core 48]:= 
[k-core 49]:= 
[k-core 50]:= 
[k-core 51]:= 
[k-core 52]:= 
[k-core 53]:= 
[k-core 54]:= 
[k-core 55]:= 
[k-core 56]:= 
[k-core 57]:= 
[k-core 58]:= 
[k-core 59]:= 
[k-core 60]:= 
[k-core 61]:= 
[k-core 62]:= 
[k-core 63]:= 
[k-core 64]:= 
[k-core 65]:= 
[k-core 66]:= 
[k-core 67]:= 
[k-core 68]:= 
[k-core 69]:= 
[k-core 70]:= 
[k-core 71]:= 
[k-core 72]:= 
[k-core 73]:= 
[k-core 74]:= 
[k-core 75]:= 
[k-core 76]:= 
[k-core 77]:= 
[k-core 78]:= 
[k-core 79]:= 
[k-core 80]:= 
[k-core 81]:= 
[k-core 82]:= 
[k-core 83]:= 
[k-core 84]:= 
[k-core 85]:= 
[k-core 86]:= 
[k-core 87]:= 
[k-core 88]:= 
[k-core 89]:= 
[k-core 90]:= 
[k-core 91]:= 
[k-core 92]:= 
[k-core 93]:= 
[k-core 94]:= 
[k-core 95]:= 
[k-core 96]:= 
[k-core 97]:= 
[k-core 98]:= 
[k-core 99]:= 
[k-core 100]:= 
[k-core 101]:= 
[k-core 102]:= 
[k-core 103]:= 
[k-core 104]:= 
[k-core 105]:= 
[k-core 106]:= 
[k-core 107]:= 
[k-core 108]:= 
[k-core 109]:= 
[k-core 110]:= 
[k-core 111]:= 
[k-core 112]:= 
[k-core 113]:= 
[k-core 114]:= 
[k-core 115]:= 
[k-core 116]:= 
[k-core 117]:= 
[k-core 118]:= 
[k-core 119]:= 
[k-core 120]:= 
[k-core 121]:= 
[k-core 122]:= 
[k-core 123]:= 
[k-core 124]:= 
[k-core 125]:= 
[k-core 126]:= 
[k-core 127]:= 
[k-core 128]:= 
[k-core 129]:= 
[k-core 130]:= 
[k-core 131]:= 
[k-core 132]:= 
[k-core 133]:= 
[k-core 134]:= 
[k-core 135]:= 
[k-core 136]:= 
[k-core 137]:= 
[k-core 138]:= 
[k-core 139]:= 
[k-core 140]:= 
[k-core 141]:= 
[k-core 142]:= 
[k-core 143]:= 
[k-core 144]:= 
[k-core 145]:= 
[k-core 146]:= 
[k-core 147]:= 
[k-core 148]:= 
[k-core 149]:= 
[k-core 150]:= 
[k-core 151]:= 
[k-core 152]:= 
[k-core 153]:= 
[k-core 154]:= 
[k-core 155]:= 
[k-core 156]:= 
[k-core 157]:= 
[k-core 158]:= 
[k-core 159]:= 
[k-core 160]:= 
[k-core 161]:= 
[k-core 162]:= 
[k-core 163]:= 
[k-core 164]:= 
[k-core 165]:= 
[k-core 166]:= 
[k-core 167]:= 
[k-core 168]:= 
[k-core 169]:= 
[k-core 170]:= 
[k-core 171]:= 
[k-core 172]:= 
[k-core 173]:= 
[k-core 174]:= 
[k-core 175]:= 
[k-core 176]:= 
[k-core 177]:= 
[k-core 178]:= 
[k-core 179]:= 
[k-core 180]:= 
[k-core 181]:= 
[k-core 182]:= 
[k-core 183]:= 
[k-core 184]:= 
[k-core 185]:= 
[k-core 186]:= 
[k-core 187]:= 
[k-core 188]:= 
[k-core 189]:= 

